cwe_id,cwe_name,description,extended_description,capec_ids,parent_cwe_ids,child_cwe_ids,consequence_scopes,consequence_impacts,consequence_notes,consequence_text,mitigation_phases,mitigation_strategies,mitigation_effectiveness,mitigation_text,detection_methods,detection_effectiveness,detection_text
CWE-680,Integer Overflow to Buffer Overflow,"The product performs a calculation to determine how much memory to allocate, but an integer overflow can occur that causes less memory to be allocated than expected, leading to a buffer overflow.",,"CAPEC-10, CAPEC-100, CAPEC-14, CAPEC-24, CAPEC-45, CAPEC-46, CAPEC-47, CAPEC-67, CAPEC-8, CAPEC-9, CAPEC-92",CWE-190,,"Integrity, Availability, Confidentiality","Modify Memory, DoS: Crash, Exit, or Restart, Execute Unauthorized Code or Commands",,"Scopes: Integrity, Availability, Confidentiality | Impacts: Modify Memory, DoS: Crash, Exit, or Restart, Execute Unauthorized Code or Commands",,,,,"Automated Static Analysis, Automated Dynamic Analysis","High, Moderate","Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to execute it. Typically, this is done by building a model of data flow and control flow, then searching for potentially-vulnerable patterns that connect ""sources"" (origins of input) with ""sinks"" (destinations where the data interacts with external components, a lower layer such as the OS, etc.) | Use tools that are integrated during compilation to insert runtime error-checking mechanisms related to memory safety errors, such as AddressSanitizer (ASan) for C/C++ [REF-1518]."
CWE-681,Incorrect Conversion between Numeric Types,"When converting from one data type to another, such as long to integer, data can be omitted or translated in a way that produces unexpected values. If the resulting values are used in a sensitive context, then dangerous behaviors may occur.",,,CWE-704,,"Other, Integrity","Unexpected State, Quality Degradation","The program could wind up using the wrong number and generate incorrect results. If the number is used to allocate resources or make a security decision, then this could introduce a vulnerability.","Scopes: Other, Integrity | Impacts: Unexpected State, Quality Degradation | Notes: The program could wind up using the wrong number and generate incorrect results. If the number is used to allocate resources or make a security decision, then this could introduce a vulnerability.",Implementation,,,Avoid making conversion between numeric types. Always check for the allowed ranges.,Automated Static Analysis,High,"Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to execute it. Typically, this is done by building a model of data flow and control flow, then searching for potentially-vulnerable patterns that connect ""sources"" (origins of input) with ""sinks"" (destinations where the data interacts with external components, a lower layer such as the OS, etc.)"
CWE-682,Incorrect Calculation,The product performs a calculation that generates incorrect or unintended results that are later used in security-critical decisions or resource management.,"When product performs a security-critical calculation incorrectly, it might lead to incorrect resource allocations, incorrect privilege assignments, or failed comparisons among other things. Many of the direct results of an incorrect calculation can lead to even larger problems such as failed protection mechanisms or even arbitrary code execution.","CAPEC-128, CAPEC-129",,,"Availability, Integrity, Confidentiality, Access Control","DoS: Crash, Exit, or Restart, DoS: Resource Consumption (Other), Execute Unauthorized Code or Commands, Gain Privileges or Assume Identity, Bypass Protection Mechanism","If the incorrect calculation causes the program to move into an unexpected state, it may lead to a crash or impairment of service. | If the incorrect calculation is used in the context of resource allocation, it could lead to an out-of-bounds operation (CWE-119) leading to a crash or even arbitrary code execution. Alternatively, it may result in an integer overflow (CWE-190) and / or a resource consumption problem (CWE-400). | In the context of privilege or permissions assignment, an incorrect calculation can provide an attacker with access to sensitive resources. | If the incorrect calculation leads to an insufficient comparison (CWE-697), it may compromise a protection mechanism such as a validation routine and allow an attacker to bypass the security-critical code.","Scopes: Availability, Integrity, Confidentiality, Access Control | Impacts: DoS: Crash, Exit, or Restart, DoS: Resource Consumption (Other), Execute Unauthorized Code or Commands, Gain Privileges or Assume Identity, Bypass Protection Mechanism | Notes: If the incorrect calculation causes the program to move into an unexpected state, it may lead to a crash or impairment of service. | If the incorrect calculation is used in the context of resource allocation, it could lead to an out-of-bounds operation (CWE-119) leading to a crash or even arbitrary code execution. Alternatively, it may result in an integer overflow (CWE-190) and / or a resource consumption problem (CWE-400). | In the context of privilege or permissions assignment, an incorrect calculation can provide an attacker with access to sensitive resources. | If the incorrect calculation leads to an insufficient comparison (CWE-697), it may compromise a protection mechanism such as a validation routine and allow an attacker to bypass the security-critical code.","Implementation, Architecture and Design","Input Validation, Language Selection, Libraries or Frameworks, Compilation or Build Hardening",,"Understand your programming language's underlying representation and how it interacts with numeric calculation. Pay close attention to byte size discrepancies, precision, signed/unsigned distinctions, truncation, conversion and casting between types, ""not-a-number"" calculations, and how your language handles numbers that are too large or too small for its underlying representation. | Perform input validation on any numeric input by ensuring that it is within the expected range. Enforce that the input meets both the minimum and maximum requirements for the expected range. | Use the appropriate type for the desired action. For example, in C/C++, only use unsigned types for values that could never be negative, such as height, width, or other numbers related to quantity. | Use languages, libraries, or frameworks that make it easier to handle numbers without unexpected consequences. Examples include safe integer handling packages such as SafeInt (C++) or IntegerLib (C or C++). | Examine compiler warnings closely and eliminate problems with potential security implications, such as signed / unsigned mismatch in memory operations, or use of uninitialized variables. Even if the weakness is rarely exploitable, a single failure may lead to the compromise of the entire system.","Manual Analysis, Automated Static Analysis, Fuzzing",High,"This weakness can be detected using tools and techniques that require manual (human) analysis, such as penetration testing, threat modeling, and interactive tools that allow the tester to record and modify an active session. Specifically, manual static analysis is useful for evaluating the correctness of allocation calculations. This can be useful for detecting overflow conditions (CWE-190) or similar weaknesses that might have serious security impacts on the program. | Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to execute it. Typically, this is done by building a model of data flow and control flow, then searching for potentially-vulnerable patterns that connect ""sources"" (origins of input) with ""sinks"" (destinations where the data interacts with external components, a lower layer such as the OS, etc.) | Fuzz testing (fuzzing) is a powerful technique for generating large numbers of diverse inputs - either randomly or algorithmically - and dynamically invoking the code with those inputs. Even with random inputs, it is often capable of generating unexpected results such as crashes, memory corruption, or resource consumption. Fuzzing effectively produces repeatable test cases that clearly indicate bugs, which helps developers to diagnose the issues."
CWE-683,Function Call With Incorrect Order of Arguments,"The product calls a function, procedure, or routine, but the caller specifies the arguments in an incorrect order, leading to resultant weaknesses.","While this weakness might be caught by the compiler in some languages, it can occur more frequently in cases in which the called function accepts variable numbers or types of arguments, such as format strings in C. It also can occur in languages or environments that do not enforce strong typing.",,CWE-628,,Other,Quality Degradation,,Scopes: Other | Impacts: Quality Degradation,Implementation,,,"Use the function, procedure, or routine as specified.",Automated Analysis,,"Because this function call often produces incorrect behavior, it will usually be detected during testing or normal operation of the product. | Exercising all possible control paths will typically expose this weakness, except in rare cases when the incorrect function call accidentally produces the correct results, or if the provided argument type is very similar to the expected argument type."
CWE-684,Incorrect Provision of Specified Functionality,"The code does not function according to its published specifications, potentially leading to incorrect usage.","When providing functionality to an external party, it is important that the product behaves in accordance with the details specified. When requirements of nuances are not documented, the functionality may produce unintended behaviors for the caller, possibly leading to an exploitable state.",,CWE-710,,Other,Quality Degradation,,Scopes: Other | Impacts: Quality Degradation,Implementation,,,Ensure that your code strictly conforms to specifications.,,,
CWE-685,Function Call With Incorrect Number of Arguments,"The product calls a function, procedure, or routine, but the caller specifies too many arguments, or too few arguments, which may lead to undefined behavior and resultant weaknesses.",,,CWE-628,,Other,Quality Degradation,,Scopes: Other | Impacts: Quality Degradation,Testing,,,Because this function call often produces incorrect behavior it will usually be detected during testing or normal operation of the product. During testing exercise all possible control paths will typically expose this weakness except in rare cases when the incorrect function call accidentally produces the correct results or if the provided argument type is very similar to the expected argument type.,Other,,"While this weakness might be caught by the compiler in some languages, it can occur more frequently in cases in which the called function accepts variable numbers of arguments, such as format strings in C. It also can occur in languages or environments that do not require that functions always be called with the correct number of arguments, such as Perl."
CWE-686,Function Call With Incorrect Argument Type,"The product calls a function, procedure, or routine, but the caller specifies an argument that is the wrong data type, which may lead to resultant weaknesses.","This weakness is most likely to occur in loosely typed languages, or in strongly typed languages in which the types of variable arguments cannot be enforced at compilation time, or where there is implicit casting.",,CWE-628,,Other,Quality Degradation,,Scopes: Other | Impacts: Quality Degradation,,,,,Other,Opportunistic,"Because this function call often produces incorrect behavior, it will usually be detected during testing or normal operation of the product."
CWE-687,Function Call With Incorrectly Specified Argument Value,"The product calls a function, procedure, or routine, but the caller specifies an argument that contains the wrong value, which may lead to resultant weaknesses.",,,CWE-628,,Other,Quality Degradation,,Scopes: Other | Impacts: Quality Degradation,,,,,Manual Static Analysis,,This might require an understanding of intended program behavior or design to determine whether the value is incorrect.
CWE-688,Function Call With Incorrect Variable or Reference as Argument,"The product calls a function, procedure, or routine, but the caller specifies the wrong variable or reference as one of the arguments, which may lead to undefined behavior and resultant weaknesses.",,,CWE-628,,Other,Quality Degradation,,Scopes: Other | Impacts: Quality Degradation,Testing,,,Because this function call often produces incorrect behavior it will usually be detected during testing or normal operation of the product. During testing exercise all possible control paths will typically expose this weakness except in rare cases when the incorrect function call accidentally produces the correct results or if the provided argument type is very similar to the expected argument type.,Other,,"While this weakness might be caught by the compiler in some languages, it can occur more frequently in cases in which the called function accepts variable numbers of arguments, such as format strings in C. It also can occur in loosely typed languages or environments. This might require an understanding of intended program behavior or design to determine whether the value is incorrect."
CWE-689,Permission Race Condition During Resource Copy,"The product, while copying or cloning a resource, does not set the resource's permissions or access control until the copy is complete, leaving the resource exposed to other spheres while the copy is taking place.",,"CAPEC-26, CAPEC-27",CWE-362,,"Confidentiality, Integrity","Read Application Data, Modify Application Data",,"Scopes: Confidentiality, Integrity | Impacts: Read Application Data, Modify Application Data",,,,,,,
CWE-69,Improper Handling of Windows ::DATA Alternate Data Stream,"The product does not properly prevent access to, or detect usage of, alternate data streams (ADS).","An attacker can use an ADS to hide information about a file (e.g. size, the name of the process) from a system or file browser tools such as Windows Explorer and 'dir' at the command line utility. Alternately, the attacker might be able to bypass intended access restrictions for the associated data fork.",CAPEC-168,CWE-66,,"Access Control, Non-Repudiation, Other","Bypass Protection Mechanism, Hide Activities, Other",,"Scopes: Access Control, Non-Repudiation, Other | Impacts: Bypass Protection Mechanism, Hide Activities, Other",Implementation,,,Ensure that the source code correctly parses the filename to read or write to the correct stream.,Automated Analysis,,Software tools are capable of finding ADSs on your system.
CWE-690,Unchecked Return Value to NULL Pointer Dereference,"The product does not check for an error after calling a function that can return with a NULL pointer if the function fails, which leads to a resultant NULL pointer dereference.","While unchecked return value weaknesses are not limited to returns of NULL pointers (see the examples in CWE-252), functions often return NULL to indicate an error status. When this error condition is not checked, a NULL pointer dereference can occur.",,CWE-252,,"Availability, Integrity, Confidentiality","DoS: Crash, Exit, or Restart, Execute Unauthorized Code or Commands, Read Memory, Modify Memory","In rare circumstances, when NULL is equivalent to the 0x0 memory address and privileged code can access it, then writing or reading memory is possible, which may lead to code execution.","Scopes: Availability, Integrity, Confidentiality | Impacts: DoS: Crash, Exit, or Restart, Execute Unauthorized Code or Commands, Read Memory, Modify Memory | Notes: In rare circumstances, when NULL is equivalent to the 0x0 memory address and privileged code can access it, then writing or reading memory is possible, which may lead to code execution.",,,,,"Black Box, White Box, Automated Dynamic Analysis",Moderate,"This typically occurs in rarely-triggered error conditions, reducing the chances of detection during black box testing. | Code analysis can require knowledge of API behaviors for library functions that might return NULL, reducing the chances of detection when unknown libraries are used. | Use tools that are integrated during compilation to insert runtime error-checking mechanisms related to memory safety errors, such as AddressSanitizer (ASan) for C/C++ [REF-1518]."
CWE-691,Insufficient Control Flow Management,"The code does not sufficiently manage its control flow during execution, creating conditions in which the control flow can be modified in unexpected ways.",,CAPEC-29,,,Other,Alter Execution Logic,,Scopes: Other | Impacts: Alter Execution Logic,,,,,,,
CWE-692,Incomplete Denylist to Cross-Site Scripting,"The product uses a denylist-based protection mechanism to defend against XSS attacks, but the denylist is incomplete, allowing XSS variants to succeed.","While XSS might seem simple to prevent, web browsers vary so widely in how they parse web pages, that a denylist cannot keep track of all the variations. The ""XSS Cheat Sheet"" [REF-714] contains a large number of attacks that are intended to bypass incomplete denylists.","CAPEC-120, CAPEC-267, CAPEC-71, CAPEC-80, CAPEC-85",CWE-184,,"Confidentiality, Integrity, Availability",Execute Unauthorized Code or Commands,,"Scopes: Confidentiality, Integrity, Availability | Impacts: Execute Unauthorized Code or Commands",,,,,,,
CWE-693,Protection Mechanism Failure,The product does not use or incorrectly uses a protection mechanism that provides sufficient defense against directed attacks against the product.,"This weakness covers three distinct situations. A ""missing"" protection mechanism occurs when the application does not define any mechanism against a certain class of attack. An ""insufficient"" protection mechanism might provide some defenses - for example, against the most common attacks - but it does not protect against everything that is intended. Finally, an ""ignored"" mechanism occurs when a mechanism is available and in active use within the product, but the developer has not applied it in some code path.","CAPEC-1, CAPEC-107, CAPEC-127, CAPEC-17, CAPEC-20, CAPEC-22, CAPEC-237, CAPEC-36, CAPEC-477, CAPEC-480, CAPEC-51, CAPEC-57, CAPEC-59, CAPEC-65, CAPEC-668, CAPEC-74, CAPEC-87",,,Access Control,Bypass Protection Mechanism,,Scopes: Access Control | Impacts: Bypass Protection Mechanism,,,,,,,
CWE-694,Use of Multiple Resources with Duplicate Identifier,"The product uses multiple resources that can have the same identifier, in a context in which unique identifiers are required.","If the product assumes that each resource has a unique identifier, the product could operate on the wrong resource if attackers can cause multiple resources to be associated with the same identifier.",,"CWE-99, CWE-573",,"Access Control, Other","Bypass Protection Mechanism, Quality Degradation","If unique identifiers are assumed when protecting sensitive resources, then duplicate identifiers might allow attackers to bypass the protection.","Scopes: Access Control, Other | Impacts: Bypass Protection Mechanism, Quality Degradation | Notes: If unique identifiers are assumed when protecting sensitive resources, then duplicate identifiers might allow attackers to bypass the protection.",Architecture and Design,,,"Where possible, use unique identifiers. If non-unique identifiers are detected, then do not operate any resource with a non-unique identifier and report the error appropriately.",,,
CWE-695,Use of Low-Level Functionality,The product uses low-level functionality that is explicitly prohibited by the framework or specification under which the product is supposed to operate.,"The use of low-level functionality can violate the specification in unexpected ways that effectively disable built-in protection mechanisms, introduce exploitable inconsistencies, or otherwise expose the functionality to attack.",CAPEC-36,CWE-573,,Other,Other,,Scopes: Other | Impacts: Other,,,,,Automated Static Analysis,High,"Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to execute it. Typically, this is done by building a model of data flow and control flow, then searching for potentially-vulnerable patterns that connect ""sources"" (origins of input) with ""sinks"" (destinations where the data interacts with external components, a lower layer such as the OS, etc.)"
CWE-696,Incorrect Behavior Order,"The product performs multiple related behaviors, but the behaviors are performed in the wrong order in ways that may produce resultant weaknesses.",,CAPEC-463,CWE-691,,Integrity,Alter Execution Logic,,Scopes: Integrity | Impacts: Alter Execution Logic,,,,,,,
CWE-697,Incorrect Comparison,"The product compares two entities in a security-relevant context, but the comparison is incorrect.","This Pillar covers several possibilities: the comparison checks one factor incorrectly; the comparison should consider multiple factors, but it does not check at least one of those factors at all; the comparison checks the wrong factor.","CAPEC-10, CAPEC-120, CAPEC-14, CAPEC-15, CAPEC-182, CAPEC-24, CAPEC-267, CAPEC-3, CAPEC-41, CAPEC-43, CAPEC-44, CAPEC-45, CAPEC-46, CAPEC-47, CAPEC-52, CAPEC-53, CAPEC-6, CAPEC-64, CAPEC-67, CAPEC-7, CAPEC-71, CAPEC-73, CAPEC-78, CAPEC-79, CAPEC-8, CAPEC-80, CAPEC-88, CAPEC-9, CAPEC-92",,,Other,Varies by Context,"When the comparison is incorrect, it may lead to resultant weaknesses.","Scopes: Other | Impacts: Varies by Context | Notes: When the comparison is incorrect, it may lead to resultant weaknesses.",,,,,Automated Static Analysis,,"Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to execute it. Typically, this is done by building a model of data flow and control flow, then searching for potentially-vulnerable patterns that connect ""sources"" (origins of input) with ""sinks"" (destinations where the data interacts with external components, a lower layer such as the OS, etc.)"
CWE-698,Execution After Redirect (EAR),"The web application sends a redirect to another location, but instead of exiting, it executes additional code.",,,"CWE-705, CWE-670",,"Other, Confidentiality, Integrity, Availability","Alter Execution Logic, Execute Unauthorized Code or Commands",This weakness could affect the control flow of the application and allow execution of untrusted code.,"Scopes: Other, Confidentiality, Integrity, Availability | Impacts: Alter Execution Logic, Execute Unauthorized Code or Commands | Notes: This weakness could affect the control flow of the application and allow execution of untrusted code.",,,,,Black Box,,"This issue might not be detected if testing is performed using a web browser, because the browser might obey the redirect and move the user to a different page before the application has produced outputs that indicate something is amiss."
CWE-7,J2EE Misconfiguration: Missing Custom Error Page,The default error page of a web application should not display sensitive information about the product.,"A Web application must define a default error page for 4xx errors (e.g. 404), 5xx (e.g. 500) errors and catch java.lang.Throwable exceptions to prevent attackers from mining information from the application container's built-in error response. When an attacker explores a web site looking for vulnerabilities, the amount of information that the site provides is crucial to the eventual success or failure of any attempted attacks.",,CWE-756,,Confidentiality,Read Application Data,"A stack trace might show the attacker a malformed SQL query string, the type of database being used, and the version of the application container. This information enables the attacker to target known vulnerabilities in these components.","Scopes: Confidentiality | Impacts: Read Application Data | Notes: A stack trace might show the attacker a malformed SQL query string, the type of database being used, and the version of the application container. This information enables the attacker to target known vulnerabilities in these components.",Implementation,,,"Handle exceptions appropriately in source code. | Always define appropriate error pages. The application configuration should specify a default error page in order to guarantee that the application will never leak error messages to an attacker. Handling standard HTTP error codes is useful and user-friendly in addition to being a good security practice, and a good configuration will also define a last-chance error handler that catches any exception that could possibly be thrown by the application. | Do not attempt to process an error or attempt to mask it. | Verify return values are correct and do not supply sensitive information about the system.",,,
CWE-703,Improper Check or Handling of Exceptional Conditions,The product does not properly anticipate or handle exceptional conditions that rarely occur during normal operation of the product.,,,,,"Confidentiality, Availability, Integrity","Read Application Data, DoS: Crash, Exit, or Restart, Unexpected State",,"Scopes: Confidentiality, Availability, Integrity | Impacts: Read Application Data, DoS: Crash, Exit, or Restart, Unexpected State",,,,,"Dynamic Analysis with Manual Results Interpretation, Manual Static Analysis - Source Code, Automated Static Analysis - Source Code, Architecture or Design Review","High, SOAR Partial","According to SOAR [REF-1479], the following detection techniques may be useful: Highly cost effective: Fault Injection - source code Fault Injection - binary Cost effective for partial coverage: Forced Path Execution | According to SOAR [REF-1479], the following detection techniques may be useful: Highly cost effective: Manual Source Code Review (not inspections) Cost effective for partial coverage: Focused Manual Spotcheck - Focused manual analysis of source | According to SOAR [REF-1479], the following detection techniques may be useful: Cost effective for partial coverage: Source code Weakness Analyzer Context-configured Source Code Weakness Analyzer | According to SOAR [REF-1479], the following detection techniques may be useful: Highly cost effective: Inspection (IEEE 1028 standard) (can apply to requirements, design, source code, etc.) Formal Methods / Correct-By-Construction"
CWE-704,Incorrect Type Conversion or Cast,"The product does not correctly convert an object, resource, or structure from one type to a different type.",,,CWE-664,,Other,Other,,Scopes: Other | Impacts: Other,,,,,Fuzzing,High,"Fuzz testing (fuzzing) is a powerful technique for generating large numbers of diverse inputs - either randomly or algorithmically - and dynamically invoking the code with those inputs. Even with random inputs, it is often capable of generating unexpected results such as crashes, memory corruption, or resource consumption. Fuzzing effectively produces repeatable test cases that clearly indicate bugs, which helps developers to diagnose the issues."
CWE-705,Incorrect Control Flow Scoping,The product does not properly return control flow to the proper location after it has completed a task or detected an unusual condition.,,,CWE-691,,Other,"Alter Execution Logic, Other",,"Scopes: Other | Impacts: Alter Execution Logic, Other",,,,,Automated Static Analysis,,"Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to execute it. Typically, this is done by building a model of data flow and control flow, then searching for potentially-vulnerable patterns that connect ""sources"" (origins of input) with ""sinks"" (destinations where the data interacts with external components, a lower layer such as the OS, etc.)"
CWE-706,Use of Incorrectly-Resolved Name or Reference,"The product uses a name or reference to access a resource, but the name/reference resolves to a resource that is outside of the intended control sphere.",,"CAPEC-159, CAPEC-177, CAPEC-48, CAPEC-641",CWE-664,,"Confidentiality, Integrity","Read Application Data, Modify Application Data",,"Scopes: Confidentiality, Integrity | Impacts: Read Application Data, Modify Application Data",,,,,Automated Static Analysis,,"Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to execute it. Typically, this is done by building a model of data flow and control flow, then searching for potentially-vulnerable patterns that connect ""sources"" (origins of input) with ""sinks"" (destinations where the data interacts with external components, a lower layer such as the OS, etc.)"
CWE-707,Improper Neutralization,The product does not ensure or incorrectly ensures that structured messages or data are well-formed and that certain security properties are met before being read from an upstream component or sent to a downstream component.,"If a message is malformed, it may cause the message to be incorrectly interpreted. Neutralization is an abstract term for any technique that ensures that input (and output) conforms with expectations and is ""safe."" This can be done by: checking that the input/output is already ""safe"" (e.g. validation) transformation of the input/output to be ""safe"" using techniques such as filtering, encoding/decoding, escaping/unescaping, quoting/unquoting, or canonicalization preventing the input/output from being directly provided by an attacker (e.g. ""indirect selection"" that maps externally-provided values to internally-controlled values) preventing the input/output from being processed at all This weakness typically applies in cases where the product prepares a control message that another process must act on, such as a command or query, and malicious input that was intended as data, can enter the control plane instead. However, this weakness also applies to more general cases where there are not always control implications.","CAPEC-250, CAPEC-276, CAPEC-277, CAPEC-278, CAPEC-279, CAPEC-3, CAPEC-43, CAPEC-468, CAPEC-52, CAPEC-53, CAPEC-64, CAPEC-7, CAPEC-78, CAPEC-79, CAPEC-83, CAPEC-84",,,Other,Other,,Scopes: Other | Impacts: Other,,,,,Automated Static Analysis,,"Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to execute it. Typically, this is done by building a model of data flow and control flow, then searching for potentially-vulnerable patterns that connect ""sources"" (origins of input) with ""sinks"" (destinations where the data interacts with external components, a lower layer such as the OS, etc.)"
CWE-708,Incorrect Ownership Assignment,"The product assigns an owner to a resource, but the owner is outside of the intended control sphere.",This may allow the resource to be manipulated by actors outside of the intended control sphere.,,CWE-282,,"Confidentiality, Integrity","Read Application Data, Modify Application Data",An attacker could read and modify data for which they do not have permissions to access directly.,"Scopes: Confidentiality, Integrity | Impacts: Read Application Data, Modify Application Data | Notes: An attacker could read and modify data for which they do not have permissions to access directly.",Policy,,,Periodically review the privileges and their owners.,Automated Analysis,,Use automated tools to check for privilege settings.
CWE-710,Improper Adherence to Coding Standards,"The product does not follow certain coding rules for development, which can lead to resultant weaknesses or increase the severity of the associated vulnerabilities.",,,,,Other,Other,,Scopes: Other | Impacts: Other,"Policy, Implementation",,,"Select and require coding standards. Ensure that they include security concerns. | Closely follow coding standards, possibly enforcing them upon checkin of the code into a source control system or with periodic analyses.",Automated Static Analysis,,Automated tools can detect violations of many code standards.
CWE-72,Improper Handling of Apple HFS+ Alternate Data Stream Path,The product does not properly handle special paths that may identify the data or resource fork of a file on the HFS+ file system.,"If the product chooses actions to take based on the file name, then if an attacker provides the data or resource fork, the product may take unexpected actions. Further, if the product intends to restrict access to a file, then an attacker might still be able to bypass intended access restrictions by requesting the data or resource fork for that file.",,CWE-66,,"Confidentiality, Integrity","Read Files or Directories, Modify Files or Directories",,"Scopes: Confidentiality, Integrity | Impacts: Read Files or Directories, Modify Files or Directories",,,,,,,
CWE-73,External Control of File Name or Path,The product allows user input to control or influence paths or file names that are used in filesystem operations.,"This could allow an attacker to access or modify system files or other files that are critical to the application. Path manipulation errors occur when the following two conditions are met: 1. An attacker can specify a path used in an operation on the filesystem. 2. By specifying the resource, the attacker gains a capability that would not otherwise be permitted. For example, the program may give the attacker the ability to overwrite the specified file or run with a configuration controlled by the attacker.","CAPEC-13, CAPEC-267, CAPEC-64, CAPEC-72, CAPEC-76, CAPEC-78, CAPEC-79, CAPEC-80","CWE-642, CWE-610, CWE-20",,"Integrity, Confidentiality, Availability","Read Files or Directories, Modify Files or Directories, Execute Unauthorized Code or Commands, DoS: Crash, Exit, or Restart, DoS: Resource Consumption (Other)","The application can operate on unexpected files. Confidentiality is violated when the targeted filename is not directly readable by the attacker. | The application can operate on unexpected files. This may violate integrity if the filename is written to, or if the filename is for a program or other form of executable code. | The application can operate on unexpected files. Availability can be violated if the attacker specifies an unexpected file that the application modifies. Availability can also be affected if the attacker specifies a filename for a large file, or points to a special device or a file that does not have the format that the application expects.","Scopes: Integrity, Confidentiality, Availability | Impacts: Read Files or Directories, Modify Files or Directories, Execute Unauthorized Code or Commands, DoS: Crash, Exit, or Restart, DoS: Resource Consumption (Other) | Notes: The application can operate on unexpected files. Confidentiality is violated when the targeted filename is not directly readable by the attacker. | The application can operate on unexpected files. This may violate integrity if the filename is written to, or if the filename is for a program or other form of executable code. | The application can operate on unexpected files. Availability can be violated if the attacker specifies an unexpected file that the application modifies. Availability can also be affected if the attacker specifies a filename for a large file, or points to a special device or a file that does not have the format that the application expects.","Architecture and Design, Implementation, Installation, Operation, Testing",Input Validation,High,"When the set of filenames is limited or known, create a mapping from a set of fixed input values (such as numeric IDs) to the actual filenames, and reject all other inputs. For example, ID 1 could map to ""inbox.txt"" and ID 2 could map to ""profile.txt"". Features such as the ESAPI AccessReferenceMap provide this capability. | Run your code in a ""jail"" or similar sandbox environment that enforces strict boundaries between the process and the operating system. This may effectively restrict all access to files within a particular directory. Examples include the Unix chroot jail and AppArmor. In general, managed code may provide some protection. This may not be a feasible solution, and it only limits the impact to the operating system; the rest of your application may still be subject to compromise. Be careful to avoid CWE-243 and other weaknesses related to jails. | For any security checks that are performed on the client side, ensure that these checks are duplicated on the server side, in order to avoid CWE-602. Attackers can bypass the client-side checks by modifying values after the checks have been performed, or by changing the client to remove the client-side checks entirely. Then, these modified values would be submitted to the server. | Assume all input is malicious. Use an ""accept known good"" input validation strategy, i.e., use a list of acceptable inputs that strictly conform to specifications. Reject any input that does not strictly conform to specifications, or transform it into something that does. When performing input validation, consider all potentially relevant properties, including length, type of input, the full range of acceptable values, missing or extra inputs, syntax, consistency across related fields, and conformance to business rules. As an example of business rule logic, ""boat"" may be syntactically valid because it only contains alphanumeric characters, but it is not valid if the input is only expected to contain colors such as ""red"" or ""blue."" Do not rely exclusively on looking for malicious or malformed inputs. This is likely to miss at least one undesirable input, especially if the code's environment changes. This can give attackers enough room to bypass the intended validation. However, denylists can be useful for detecting potential attacks or determining which inputs are so malformed that they should be rejected outright. When validating filenames, use stringent allowlists that limit the character set to be used. If feasible, only allow a single ""."" character in the filename to avoid weaknesses such as CWE-23, and exclude directory separators such as ""/"" to avoid CWE-36. Use a list of allowable file extensions, which will help to avoid CWE-434. Do not rely exclusively on a filtering mechanism that removes potentially dangerous characters. This is equivalent to a denylist, which may be incomplete (CWE-184). For example, filtering ""/"" is insufficient protection if the filesystem also supports the use of ""\"" as a directory separator. Another possible error could occur when the filtering is applied in a way that still produces dangerous data (CWE-182). For example, if ""../"" sequences are removed from the "".../...//"" string in a sequential fashion, two instances of ""../"" would be removed from the original string, but the remaining characters would still form the ""../"" string. | Use a built-in path canonicalization function (such as realpath() in C) that produces the canonical version of the pathname, which effectively removes "".."" sequences and symbolic links (CWE-23, CWE-59). | Use OS-level permissions and run as a low-privileged user to limit the scope of any successful attack. | If you are using PHP, configure your application so that it does not use register_globals. During implementation, develop your application so that it does not rely on this feature, but be wary of implementing a register_globals emulation that is subject to weaknesses such as CWE-95, CWE-621, and similar issues. | Use tools and techniques that require manual (human) analysis, such as penetration testing, threat modeling, and interactive tools that allow the tester to record and modify an active session. These may be more effective than strictly automated techniques. This is especially the case with weaknesses that are related to design and business rules.",Automated Static Analysis,,"The external control or influence of filenames can often be detected using automated static analysis that models data flow within the product. Automated static analysis might not be able to recognize when proper input validation is being performed, leading to false positives - i.e., warnings that do not have any security consequences or require any code changes."
